sample,fastq_1,fastq_2,strandedness
20557_S25,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/20557_S25_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/20557_S25_R2_001.fastq.gz,auto
2082_S2,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/2082_S2_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/2082_S2_R2_001.fastq.gz,auto
2136_S1,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/2136_S1_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/2136_S1_R2_001.fastq.gz,auto
21774_S26,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/21774_S26_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/21774_S26_R2_001.fastq.gz,auto
226_S79,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/226_S79_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/226_S79_R2_001.fastq.gz,auto
23496_S27,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/23496_S27_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/23496_S27_R2_001.fastq.gz,auto
23670_S28,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/23670_S28_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/23670_S28_R2_001.fastq.gz,auto
24840_S29,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/24840_S29_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/24840_S29_R2_001.fastq.gz,auto
25900_S54,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/25900_S54_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/25900_S54_R2_001.fastq.gz,auto
29292_S30,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/29292_S30_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/29292_S30_R2_001.fastq.gz,auto
32051_S59,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/32051_S59_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/32051_S59_R2_001.fastq.gz,auto
32227_S60,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/32227_S60_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/32227_S60_R2_001.fastq.gz,auto
35639_S31,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/35639_S31_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/35639_S31_R2_001.fastq.gz,auto
3677_S94,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/3677_S94_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/3677_S94_R2_001.fastq.gz,auto
38494_S96,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/38494_S96_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/38494_S96_R2_001.fastq.gz,auto
38741_S32,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/38741_S32_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/38741_S32_R2_001.fastq.gz,auto
